"age","prior_job_count","department","proportion_401K","starting_salary","separated_ny","days_to_separate","job_level"
40.97,8,"human_resources",0.5,81228,1,1,"B"
51.85,14,"human_resources",0.44,103424,1,1,"C"
38.25,6,"customer_service",0.53,76442,0,10.94,"D"
47.25,12,"human_resources",0.43,94582,1,1,"C"
42.55,10,"customer_service",0.56,85024,0,41.38,"D"
40.39,9,"human_resources",1,80932,0,1,"D"
49.41,9,"human_resources",0.16,98974,0,1,"D"
45.04,6,"customer_service",0.22,89715,0,80.49,"A"
44.53,13,"human_resources",1,89027,1,1,"C"
44.23,13,"customer_service",0.83,88820,0,43.87,"A"
47.14,7,"human_resources",0.98,94400,1,1,"C"
43.19,11,"customer_service",0.99,86630,0,48.9,"A"
42.75,13,"customer_service",0.01,85370,0,83.71,"D"
46.57,10,"customer_service",0.99,93027,0,2.37,"E"
46.55,11,"it_support",0,92603,0,0.6,"A"
40.2,15,"human_resources",0.96,80560,0,1,"C"
46.61,9,"human_resources",0.71,92624,1,1,"E"
46.84,8,"human_resources",0.26,93683,0,1,"A"
48.34,11,"human_resources",0.84,96901,0,1,"B"
45.56,8,"human_resources",0.92,91101,1,1,"C"
47.79,5,"it_support",0.99,95909,1,4.18,"E"
37.86,6,"human_resources",0.68,76241,1,1,"C"
44.4,12,"human_resources",0,89071,1,1,"B"
45.18,7,"human_resources",0.67,89726,0,1,"E"
42.87,8,"human_resources",0.94,85456,1,1,"A"
47.44,16,"human_resources",0.31,94817,1,1,"A"
40.04,8,"human_resources",0.66,80091,0,1,"D"
42.39,5,"it_support",0.74,84924,0,1.49,"A"
37.55,6,"human_resources",0.44,75044,1,1,"B"
52.74,14,"human_resources",0.02,104916,1,1,"C"
47.32,5,"human_resources",0.47,94830,1,1,"C"
42.88,12,"human_resources",0.25,85821,0,1,"B"
41.13,15,"human_resources",0,82028,1,1,"D"
40.7,6,"it_support",1,81530,1,4.24,"E"
44.31,8,"human_resources",0.74,88946,1,1,"B"
46.97,9,"human_resources",0.33,94118,0,1,"B"
47.36,7,"human_resources",0.93,94638,1,1,"B"
43.06,8,"it_support",0.7,86746,0,0.05,"A"
43.59,9,"human_resources",0.34,87475,1,1,"D"
44.95,11,"human_resources",0.02,89590,0,1,"C"
38.56,8,"it_support",0.01,77446,0,1.92,"D"
47.81,11,"human_resources",0.01,95231,0,1,"D"
39.89,11,"customer_service",0.81,79416,0,16.02,"B"
46.28,8,"customer_service",1,92856,0,170.02,"A"
45.96,11,"human_resources",0.94,92210,1,1,"D"
39.91,3,"customer_service",0.01,80164,0,16.03,"D"
47.05,10,"human_resources",0.92,93916,0,1,"D"
48,11,"human_resources",0.99,95835,0,1,"A"
